m1,Messier 1,NGC 1952,Crab Nebula,supernova remnant,5h34m31.9s,+22d0m52s,8.4,6.5,Taurus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Crab_Nebula.jpg/500px-Crab_Nebula.jpg
m2,Messier 2,NGC 7089,–,globular cluster,21h33m27.2s,-0d49m22s,6.6,33.0,Aquarius,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Messier2_-_HST_-_Potw1913a.jpg/500px-Messier2_-_HST_-_Potw1913a.jpg
m3,Messier 3,NGC 5272,–,globular cluster,13h42m11.2s,+28d22m34s,6.3,33.9,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Messier3_-_HST_-_Potw1914a.jpg/500px-Messier3_-_HST_-_Potw1914a.jpg
m4,Messier 4,NGC 6121,–,globular cluster,16h23m35.5s,-26d31m29s,5.4,7.2,Scorpius,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Globular_star_cluster_Messier_4.jpg/500px-Globular_star_cluster_Messier_4.jpg
m5,Messier 5,NGC 5904,–,globular cluster,15h18m33.8s,+2d5m0s,5.7,24.5,Serpens,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Messier_5_-_HST.jpg/500px-Messier_5_-_HST.jpg
m6,Messier 6,NGC 6405,Butterfly Cluster,open cluster,17h40m20.0s,-32d15m30s,4.2,1.6,Scorpius,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/M6a.jpg/500px-M6a.jpg
m7,Messier 7,NGC 6475,Ptolemy Cluster,open cluster,17h53m50.0s,-34d47m36s,3.3,0.98,Scorpius,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/The_star_cluster_Messier_7.jpg/500px-The_star_cluster_Messier_7.jpg
m8,Messier 8,NGC 6523,Lagoon Nebula,emission nebula,18h3m42.0s,-24d22m48s,5.8,4.1,Sagittarius,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/LagoonHunterWilson.jpg/500px-LagoonHunterWilson.jpg
m9,Messier 9,NGC 6333,–,globular cluster,17h19m11.8s,-18d30m57s,7.8,25.8,Ophiuchus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Globular_cluster_Messier_9_%28captured_by_the_Hubble_Space_Telescope%29.tif/lossy-page1-500px-Globular_cluster_Messier_9_%28captured_by_the_Hubble_Space_Telescope%29.tif.jpg
m10,Messier 10,NGC 6254,–,globular cluster,16h57m8.9s,-4d5m56s,6.6,14.3,Ophiuchus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Messier_10_Hubble_WikiSky.jpg/500px-Messier_10_Hubble_WikiSky.jpg
